请求前缀次数,有效次数,路线,统计量,中位数,2.5%分位,97.5%分位
200,200,L1正则多因素逻辑回归,布里尔分数,0.07950605351067289,0.061664547556114294,0.10115996685139945
200,200,L1正则多因素逻辑回归,对数损失,0.28711992172616263,0.22369492666484547,0.35921964640559517
200,200,L1正则多因素逻辑回归,校准截距,-0.12753075172221662,-0.6932243895090368,0.3848824139916723
200,200,L1正则多因素逻辑回归,校准斜率,0.8653697463059298,0.6401006717319555,1.1531439090667333
200,200,贝叶斯信息准则剪枝决策树,灵敏度,0.3183656610382315,0.2071947937384118,0.4553538131642738
200,200,贝叶斯信息准则剪枝决策树,特异度,0.9218892873745469,0.8950717291751259,0.941524048965696
200,200,贝叶斯信息准则剪枝决策树,精确率,0.338377754898942,0.2216473450335519,0.4940007952881812
200,200,贝叶斯信息准则剪枝决策树,F1分数,0.3235171671100976,0.21530719858888625,0.4577769091590625
200,200,贝叶斯信息准则剪枝决策树,马修斯相关系数,0.24107187559562904,0.1278756972798845,0.38620997400547025
200,200,贝叶斯信息准则剪枝决策树,ROC曲线下面积,0.45516036030170837,0.35357687455225095,0.5617963106306089
200,200,贝叶斯信息准则剪枝决策树,PR曲线下面积,0.1708747484393509,0.1079644610140435,0.2653182261095716
200,200,贝叶斯信息准则剪枝决策树,布里尔分数,0.10000565176362869,0.07777523200706561,0.12541380048618167
200,200,贝叶斯信息准则剪枝决策树,对数损失,0.3428939230204468,0.2770619190272567,0.4208821238709781
200,200,贝叶斯信息准则剪枝决策树,校准截距,-0.7104206774787156,-1.322213303899507,-0.12220963240332121
200,200,贝叶斯信息准则剪枝决策树,校准斜率,0.6247908638344413,0.37951053586410355,0.8820957683873484
400,400,三标准差Z值规则基准,灵敏度,0.035130521729814665,0.0,0.08085054093936044
400,400,三标准差Z值规则基准,特异度,0.9448551326384534,0.9142432674915714,0.9664500138485712
400,400,三标准差Z值规则基准,精确率,0.07170295800386473,0.0,0.17637701706331177
400,372,三标准差Z值规则基准,F1分数,0.050189595539432474,0.014939684791449826,0.1044260295132298
400,400,三标准差Z值规则基准,马修斯相关系数,-0.028933709055156118,-0.08467553367849118,0.042303345341108134
400,400,三标准差Z值规则基准,ROC曲线下面积,0.5349352016291427,0.45106824721485783,0.6151699397599693
400,400,三标准差Z值规则基准,PR曲线下面积,0.1294025373143155,0.084986502678402,0.1821117131632909
400,400,L1正则多因素逻辑回归,灵敏度,0.28917052784591624,0.17085600290170475,0.42200153784378647
400,400,L1正则多因素逻辑回归,特异度,0.9693304248775726,0.9501910315608705,0.9843889668585356
400,400,L1正则多因素逻辑回归,精确率,0.5528638606228801,0.3713390424289607,0.7192766614054512
400,400,L1正则多因素逻辑回归,F1分数,0.3797359478475848,0.23793890318031222,0.5023346493490024
400,400,L1正则多因素逻辑回归,马修斯相关系数,0.35158966736506725,0.2042743929482405,0.472101817234197
400,400,L1正则多因素逻辑回归,ROC曲线下面积,0.7964454543134412,0.7264101022881503,0.869221345850343
400,400,L1正则多因素逻辑回归,PR曲线下面积,0.4977588781674306,0.3501328916807582,0.6181179035106007
400,400,L1正则多因素逻辑回归,布里尔分数,0.07927271339675157,0.059172116100864765,0.10077762915629218
400,400,L1正则多因素逻辑回归,对数损失,0.28617690336236346,0.22369492666484547,0.3560472827852337
400,400,L1正则多因素逻辑回归,校准截距,-0.14379579736019882,-0.7111486020001418,0.36752506086270004
400,400,L1正则多因素逻辑回归,校准斜率,0.8668093488113594,0.6188187097797873,1.168479889883236
400,400,贝叶斯信息准则剪枝决策树,灵敏度,0.3172279286420048,0.20888363827295126,0.461470243041445
400,400,贝叶斯信息准则剪枝决策树,特异度,0.9216737988624297,0.8947568153424245,0.9439245601637583
400,400,贝叶斯信息准则剪枝决策树,精确率,0.3358370786516854,0.22709429570187276,0.4808374187080655
400,400,贝叶斯信息准则剪枝决策树,F1分数,0.3250178813663831,0.22350165047334328,0.4473896065919803
400,400,贝叶斯信息准则剪枝决策树,马修斯相关系数,0.2438115321163282,0.1317145554745208,0.372856058431958
400,400,贝叶斯信息准则剪枝决策树,ROC曲线下面积,0.4534917766397006,0.34804896489304255,0.5674389644747136
400,400,贝叶斯信息准则剪枝决策树,PR曲线下面积,0.16915089049312987,0.10949282367292144,0.25654978779424376
400,400,贝叶斯信息准则剪枝决策树,布里尔分数,0.09967899322003893,0.07777523200706561,0.12368419887627785
400,400,贝叶斯信息准则剪枝决策树,对数损失,0.3429557667420773,0.2751600097867418,0.4149950816766494
400,400,贝叶斯信息准则剪枝决策树,校准截距,-0.7232725006136125,-1.3214043957955073,-0.14161865786444428
400,400,贝叶斯信息准则剪枝决策树,校准斜率,0.616169269568319,0.37951053586410355,0.8779944737187823
